How to Get Away with Murder,2,100%,8.85,9,8.7,8.5,8.8,9,8.6,8.8,8.8,9.6,8.3,8.5,8.8,9.1,9.1,9.2,,,,,,,,,,,
How to Get Away with Murder,3,90%,8.67,8.6,8.5,8.4,8.7,8.4,8.3,8.6,8.9,9.6,8.4,8.3,8.5,8.8,9,9,,,,,,,,,,,
How to Get Away with Murder,4,93%,8.67,7.9,8.6,8.5,8.4,8.7,8.4,8.8,9.7,9.1,8.3,8.4,8.5,9.2,8.8,8.7,,,,,,,,,,,
How to Get Away with Murder,5,85%,8.79,8.7,8.5,8.7,8.5,9,8.9,8.7,9.3,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dexter,1,45%,8.89,8.8,8.4,8.4,8.8,8.6,9,8.8,9.1,8.7,9.2,9.3,9.6,,,,,,,,,,,,,,
Dexter,2,76%,8.92,8.8,8.7,8.8,8.5,8.8,8.7,8.8,9.1,9.4,9,9.1,9.3,,,,,,,,,,,,,,
Dexter,3,53%,8.63,8.4,8.5,8.3,8.3,8.6,8.3,8.6,8.7,8.9,9.1,8.9,8.9,,,,,,,,,,,,,,
Dexter,4,93%,9,8.8,8.7,8.4,9.2,9,8.8,8.6,8.6,9.4,9.2,9.5,9.8,,,,,,,,,,,,,,
Dexter,5,83%,8.72,8.9,8.3,8.6,8.5,8.2,8.9,8.5,8.9,9,9,8.9,8.9,,,,,,,,,,,,,,
Dexter,6,86%,8.39,8.7,8.2,8.3,8.5,8.1,8.6,7.9,8,8.6,8.2,8.4,9.2,,,,,,,,,,,,,,
Dexter,7,100%,8.82,9.5,8.8,8.7,8.9,8.6,8.4,8.5,8.9,8.7,8.5,9,9.3,,,,,,,,,,,,,,
Dexter,8,82%,7.62,8.7,8.2,8.2,8.2,8,7.9,7.6,8.2,7.4,7,7.3,4.8,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wire,1,93%,8.34,8,8.3,8.2,8.3,8.4,8.4,8.4,8.3,8.3,8.6,8.4,8.4,8.4,,,,,,,,,,,,,
The Wire,2,100%,8.23,7.8,8.1,8.1,8,8.2,8.3,8.3,8.3,8.4,8.4,8.5,8.4,,,,,,,,,,,,,,
The Wire,3,100%,8.39,8.1,8.3,8.3,8.3,8.4,8.3,8.3,8.4,8.4,8.4,8.9,8.6,,,,,,,,,,,,,,
The Wire,4,100%,8.38,8.3,8.4,8.3,8.3,8.3,8.3,8.4,8.3,8.3,8.4,8.3,8.5,8.8,,,,,,,,,,,,,
The Wire,5,88%,8.39,8.1,8.2,8.4,8.4,8.4,8.3,8.4,8.3,8.5,8.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suits,1,100%,8.57,8.9,8.5,8.4,8.3,8.4,8.3,8.7,8.4,8.6,8.6,8.7,9,,,,,,,,,,,,,,
Suits,2,93%,8.78,9.1,8.5,8.5,8.7,8.9,8.7,9.2,8.8,8.9,9.3,8.4,8.7,8.5,8.7,8.6,8.9,,,,,,,,,,
Suits,3,100%,8.79,8.7,8.6,8.6,8.6,8.4,8.9,8.9,8.8,8.6,8.7,8.6,9.2,8.6,9.1,8.9,9.4,,,,,,,,,,
Suits,4,100%,8.95,8.8,8.6,8.6,8.5,8.6,9.1,9,9.1,9.4,9.6,9.1,8.6,9,8.8,9.3,9.1,,,,,,,,,,
Suits,5,100%,9.22,9,8.8,9,9.2,8.8,8.9,9.5,9.2,9.1,9.8,9.5,9.1,9,9.5,9.7,9.4,,,,,,,,,,
Suits,6,82%,8.71,8.4,8.4,8.6,8.5,8.4,8.2,8.3,8.8,9.3,9.6,8.5,8.9,8.7,8.5,8.5,9.7,,,,,,,,,,
Suits,7,85%,8.44,8.9,8.5,8.1,8.2,8.1,8.6,8.6,8.8,8.2,9.1,8.3,7.8,8.7,8.6,8.6,8,,,,,,,,,,
Suits,8,72%,7.93,7.4,7.6,7.9,7.8,8,8.3,8,7.5,7.7,9.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sense8,1,94%,8.7,7.7,8.2,8.5,9,8.5,8.7,8.7,9,8.6,9.1,9.1,9.3,,,,,,,,,,,,,,
Sense8,2,91%,9.13,8.9,9.2,9.1,8.9,9.1,9,9,9.2,9.2,9.3,9.6,9.1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Altered Carbon,1,65%,8.3,7.9,7.9,8.1,8.6,8.4,8.4,8.3,8.4,8.5,8.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gotham,1,85%,8.31,8.1,8.1,7.9,8.2,8,8.4,9.1,8.1,7.9,8.5,7.9,8.5,8,8.2,8.1,8.6,8.2,8.3,8.3,8.6,8.8,9,,,,
